feature,chi2_score,p_value
A682,154.71035412515772,7.802783981132416e-31
Caldera2,139.07514211045495,1.5707782842388963e-27
Imperial2,134.97454933137087,1.1506185402522903e-26
Avenida2,127.96659822578769,3.444154381364843e-25
González2,121.9274987179996,6.414141493455692e-24
Copiapo2,119.1875516747486,2.4137723204841665e-23
Miguel2,84.90049244843443,3.461599142929542e-16
Año,72.43914838173181,1.29081792227956e-13
Mes,48.65832747693123,8.7270315799416e-09
Estación,46.614653344736226,2.2332402918863264e-08
Día,35.93415414147279,2.8390558203377094e-06
CalleLugar,30.679729611477327,2.917909849986038e-05
NumeroPiso,24.22354211032065,0.00047504661685697237
Ciudad,18.282086978642813,0.005564589460878446
País,9.365225988278677,0.1540558114492593
