strategy,codification,accuracy,precision_macro,recall_macro,f1_macro,cv_splits,selected_feature_count
stratified_kfold,GDS,0.5093833780160858,0.2852447476379162,0.3206553034338269,0.28651898462758324,2,10
stratified_kfold,GDS_R1,0.8132260947274352,0.5245480564123812,0.68069992426909,0.5652738320711607,5,10
stratified_kfold,GDS_R2,0.7265415549597856,0.6773579736954695,0.6743558963700863,0.675801561571031,5,10
stratified_kfold,GDS_R3,0.8596961572832886,0.7441299272694621,0.8338418751995285,0.7744232598928888,5,10
stratified_kfold,GDS_R4,0.6657730116175157,0.5082917391575151,0.6939321531574243,0.5461797171636911,5,10
stratified_kfold,GDS_R5,0.6416443252904379,0.5474213268568108,0.6337342954180624,0.5708768357094666,5,10
loocv,GDS,0.47899910634495085,0.2528916140375097,0.2982064557366571,0.2624858956132819,1119,10
loocv,GDS_R1,0.8150134048257373,0.5306466488318953,0.7312508399731209,0.5760652131005782,1119,10
loocv,GDS_R2,0.7283288650580876,0.6783917591338855,0.6765930328354107,0.6774647754883684,1119,10
loocv,GDS_R3,0.8596961572832886,0.7441299272694621,0.8338418751995285,0.7744232598928888,1119,10
loocv,GDS_R4,0.6648793565683646,0.5065252572770349,0.6887238198240909,0.5438105631107494,1119,10
loocv,GDS_R5,0.6371760500446828,0.542121398406645,0.6261874641340358,0.5649177038963216,1119,10
