codification,class,count,ratio
GDS,1.0,149,0.133155
GDS,2.0,500,0.446828
GDS,3.0,298,0.266309
GDS,4.0,108,0.096515
GDS,5.0,42,0.037534
GDS,6.0,20,0.017873
GDS,7.0,2,0.001787
GDS_R1,1.0,947,0.846291
GDS_R1,2.0,150,0.134048
GDS_R1,3.0,22,0.01966
GDS_R2,1.0,649,0.579982
GDS_R2,2.0,298,0.266309
GDS_R2,3.0,172,0.153709
GDS_R3,1.0,947,0.846291
GDS_R3,3.0,172,0.153709
GDS_R4,1.0,149,0.133155
GDS_R4,2.0,906,0.809651
GDS_R4,3.0,64,0.057194
GDS_R5,1.0,149,0.133155
GDS_R5,2.0,798,0.713137
GDS_R5,3.0,172,0.153709
