component,explained_variance_ratio,cumulative_explained_variance
1,0.41276378888214227,0.41276378888214227
2,0.09920726315977271,0.511971052041915
3,0.08021010495062372,0.5921811569925387
4,0.06818804663919521,0.6603692036317339
5,0.060567704549699224,0.7209369081814331
6,0.054593007109083644,0.7755299152905167
7,0.052473114587328736,0.8280030298778455
8,0.03963968163006844,0.8676427115079139
9,0.03172738267875763,0.8993700941866716
10,0.02795626452592013,0.9273263587125917
11,0.024613555126898317,0.9519399138394901
12,0.017388483428392117,0.9693283972678822
13,0.015119803968026693,0.9844482012359089
14,0.010986210907808021,0.995434412143717
15,0.0045655878562832685,1.0000000000000002
